Year,Median Household Income,Income Adjusted for Individual (2.8)
1984,25290,8968
1985,26980,9567
1986,29010,10287
1987,30150,10691
1988,30290,10741
1989,33010,11706
1990,33290,11805
1991,33660,11936
1992,34900,12376
1993,34070,12082
1994,35330,12528
1995,37010,13124
1996,38810,13762
1997,39690,14074
1998,40930,14514
1999,43630,15472
2000,46820,16603
2001,47260,16759
2002,47440,16823
2003,49300,17482
2004,49220,17454
2005,51760,18355
2006,55320,19617
2007,55730,19762
2008,57010,20216
2009,56130,19904
2010,54280,19248
2011,53370,18926
2012,57020,20220
2013,60790,21557
2014,60490,21450
2015,63640,22567
2016,66640,23631
2017,70040,24837
2018,70490,24996
2019,78100,27695
2020,77650,27535
2021,81580,28929
2022,85300,30248
2023,89870,31869
